,순위,mean,ISBN,상품명,저자,출판사,설명,관리분류,top_topic,topic_dist,topic_words
0,27.0,28.7,2510567147905,아직 끝이 아니다 (양장 한정판),김연경,가연,꿈 여자배구 사상 왼쪽 공격수 김연경 주목 유년 시절 일본 터키 진출 세계 인정 세계 정상 배구 선수 김연경 최적 신체 조건 공격 수비 퍼포먼스 좌 압도 경기 배구 돌풍 재치 입담 걸 크러시 매력 사람 마음 그녀 여자 배구 사상 유일 세계 스타 이유,에세이,2,"[(2, 0.30134117603302), (5, 0.2784613370895386), (13, 0.20996247231960297), (12, 0.159982830286026)]",드라마 미국 만화 아마존 기념
1,59.0,59.0,2511464896507,만화로 보는 3분 철학 세트,서정욱/김재훈,카시오페아,철학 만화 철학 기초 개념 만화 개념 서양 철학사 철학 현대 철학 세트 인문학 철학 중요성 강조 정작 어디 공부 사람 만화 철학 전권 전권 세트 투자 단번 철학 기본 개념 잡고 사람 철학 만화 도구로 접근성 지식 깊이 서울대 철학 박찬 국 교수 철학자 핵심 사상 소개 철학자 개성 사상 극찬 철학 개념,인문,12,"[(12, 0.5764328241348267), (2, 0.11690960824489594), (0, 0.11638589948415756), (3, 0.05967079475522041)]",철학 의미 이해 교수 통찰
2,16.0,44.2,9782067255425,미쉐린 가이드 서울 2022,미쉐린 트래블 파트너,미쉐린코리아,세계 권위 레스토랑 호텔 평가 전세계 미식 바이블 미쉐린 가이드 미슐랭 가이드 프랑스 어로 기드 미슐랭 서울 여섯 미쉐린 가이드 서울 발간 미쉐린 가이드 서울 해외 여행 제한 위기 국내 미식 대중 미식 즐거움 경험 선사 노력 레스토랑 열정 발전 조명 예정 미쉐린 가이드 서울 세계 수준 요리 선사 미쉐린 스타 레스토랑 합리 가격 음식 제공 르망 지속 미식 발전 헌신 레스토랑 조명하 미쉐린 그린 스타 미쉐린 가이드 평가원 서울 레스토랑 소개,건강 취미,13,"[(13, 0.4868813753128052), (12, 0.20753584802150726), (15, 0.10282913595438004), (11, 0.08770330250263214)]",도시 서울 길 여행 음식
3,51.0,39.1,9788901033518,돼지책,앤서니 브라운/허은미,웅진주니어,그림책 거장 앤서니 브라운 돼지 국내 기념 커버 한정판 메시지 표현 그림책 고전 열 오른 돼지 국내 커버 한정판 돼지 국내 당시 어린이 보기 페미니즘 시각 가사 노동 성 고정관념 평단 주목 군더더기 계산 화면 구성 작품 전반 유머 위트 주제 설득 전달 기념 커버 아버지 피곳 씨 아들 앞치마 냄비 활짝 모습 돼지 영국 처음 국내 소개 지난 사회 모습 얼마나 돼지,유아,2,"[(2, 0.24174030125141144), (4, 0.22514896094799042), (12, 0.16572944819927216), (15, 0.09791160374879837)]",드라마 미국 만화 아마존 기념
4,79.0,79.0,9788901047904,우리 엄마,허은미/앤서니 브라운,웅진주니어,인기 그림책 앤서니 브라운 신작 아이 존재 엄마 모습 만능 재주 엄마 가족 엄마 의미 아이 더욱,유아,4,"[(4, 0.6472326517105103), (12, 0.12793868780136108), (11, 0.06612738966941833), (2, 0.06218709424138069)]",아이 엄마 그림책 시인 마음
5,79.0,79.0,9788901055190,"선생님, 바보 의사 선생님",이상희 글/김명길 그림,웅진주니어,한평생 무소유 삶 이웃 인술 의사 장기려 삶 아이 기오 다리 치료 비 병원 엄마 돈 사람 치료 비 아주 조금 복음병원 소문 기오 데리 거기 기오 장기려 박사 기오 수술 잡고 기도 수술 병실 박사 호기심 동시,유아,5,"[(5, 0.5982043743133545), (4, 0.27685508131980896), (12, 0.05427335947751999), (9, 0.014026793651282787)]",인생 마음 감정 위로 경험
6,1.0,7.7,9788901090184,클루지,개리 마커스/최호영,갤리온,진화 최선 담보 전통 이론 뒤엎는다 진화 란 합리 해결 해결 방식 마음 고장 나기 애물 단지 컴퓨터 즉 클루지 주장 기억 매번 기대 실수 자주 반복 이유 여기,인문,12,"[(12, 0.3748917579650879), (9, 0.26542937755584717), (5, 0.12235288321971893), (7, 0.11111677438020706)]",철학 의미 이해 교수 통찰
7,55.0,60.2,9788901098272,STICK 스틱!,칩 히스/댄 히스/안진환/박슬라,엘도라도,기사 헤드라인 기업 국가 전략 수립 메시지 폭발 추진 도구 방법 대하 세기 검증 히트 메시지 비밀 사람 뇌리 힘 발휘 속담 신화 광고 카피 선거 캐치프레이즈 연구 명의 사람과 실험,경제 경영,11,"[(11, 0.3215455710887909), (10, 0.2826750576496124), (5, 0.1528986543416977), (12, 0.08341070264577866)]",사회 미래 변화 위기 코로나
8,69.0,69.0,9788901112473,빨간 양털 조끼의 세계 여행,볼프강 코른,웅진주니어,독일 텔레비전 입다 옷 수거 함 조끼 아프리카 청년 발견 시작,역사,9,"[(9, 0.4063417613506317), (12, 0.2233067899942398), (5, 0.1298069953918457), (3, 0.10683480650186539)]",시작 방법 처음 생활 마음
9,67.0,67.0,9788901121345,가족은 꼬옥 안아주는 거야,박윤경/김이랑,웅진주니어,모습 가족 가족 아이 사회 인간관계 가족 그림책 요즘 아이 가족 형태 모습 제각각 불구 가족 공통 공통 가족 개념 가족 결혼 출산 입양 형성 서로 공동체,유아,4,"[(4, 0.6307936906814575), (5, 0.08329033851623535), (9, 0.08217053860425949), (16, 0.07125063240528107)]",아이 엄마 그림책 시인 마음
