순위,mean,ISBN,상품명,저자,출판사,설명,관리분류,top_topic,topic_dist,topic_words,topic_dict,IMAGE,판매가
59.0,59.0,2511464896507,만화로 보는 3분 철학 세트,서정욱/김재훈,카시오페아,철학 만화 철학 기초 개념 만화 개념 서양 철학사 철학 현대 철학 세트 인문학 철학 중요성 강조 시대 정작 어디 공부 사람 만화 분 철학 전권 전권 세트 투자 단번 철학 기본 개념 잡고 사람 철학 만화 도구로 접근성 지식 깊이 서울대 철학 박찬 국 교수 철학자 핵심 사상 소개 철학자 개성 사상 극찬 철학 개념,인문,8.0,"[(8, 0.4710090458393097), (12, 0.26608192920684814), (11, 0.07608179748058319), (15, 0.06598503142595291)]",인간 철학 시대 철학자 나무,"{8: 0.4710090458393097, 12: 0.26608192920684814, 11: 0.07608179748058319, 15: 0.06598503142595291}",http://image.yes24.com/goods/114648965/XL,"44,640원"
51.0,39.1,9788901033518,돼지책,앤서니 브라운/허은미,웅진주니어,그림책 거장 앤서니 브라운 돼지 주년 기념 리 커버 한정판 메시지 표현 그림책 고전 열 오른 돼지 주년 리 커버 한정판 돼지 당시 어린이 보기 페미니즘 시각 가사 노동 성 고정관념 평단 주목 군더더기 계산 화면 구성 작품 전반 유머 위트 주제 설득 전달 주년 기념 리 커버 아버지 피곳 씨 아들 앞치마 냄비 채 활짝 모습 돼지 영국 처음 소개 지난 오늘날 사회 모습 얼마나 돼지,유아,28.0,"[(28, 0.33444714546203613), (20, 0.1505390703678131), (1, 0.11771117150783539), (13, 0.0865655168890953)]",미국 음악 기념 클래식 올해,"{28: 0.33444714546203613, 20: 0.1505390703678131, 1: 0.11771117150783539, 13: 0.0865655168890953}",https://shopping-phinf.pstatic.net/main_3244461/32444610647.20221019135704.jpg,"9,900원"
1.0,7.7,9788901090184,클루지,개리 마커스/최호영,갤리온,인간 진화 최선 선택 담보 전통 이론 뒤엎는다 진화 란 합리 해결 해결 선택 방식 인간 마음 고장 나기 애물 단지 컴퓨터 즉 클루지 주장 기억 매번 기대 저 실수 자주 반복 이유 여기,인문,15.0,"[(15, 0.5267179012298584), (8, 0.15282593667507172), (16, 0.12277112901210785), (23, 0.09823063015937805)]",시작 이유 사실 경험 시대,"{15: 0.5267179012298584, 8: 0.15282593667507172, 16: 0.12277112901210785, 23: 0.09823063015937805}",https://shopping-phinf.pstatic.net/main_3247353/32473530345.20221019101226.jpg,"12,420원"
25.0,27.6,9788901121390,기분을 말해 봐!,홍연미/앤서니 브라운,웅진주니어,의사소통 아이 꼭 감정 앤서니 브라운 체 아이 기분 표현 유아기 성장 폭발 정도 방면 성장 신체 발달 감정 표현 시작 정서 발달,유아,3.0,"[(3, 0.3631655275821686), (20, 0.27280405163764954), (15, 0.20285862684249878), (29, 0.04698000103235245)]",마음 심리학 감정 심리 불안,"{3: 0.3631655275821686, 20: 0.27280405163764954, 15: 0.20285862684249878, 29: 0.04698000103235245}",https://shopping-phinf.pstatic.net/main_3244094/32440948977.20221019152256.jpg,"9,900원"
65.0,52.3,9788901214924,한 권으로 읽는 조선왕조실록,박영규,웅진지식하우스,쇄 돌파 역사 전하 제대로 선사 전면 조선왕조 조선왕조 지난 쇄 돌파 부라 지난 훌쩍 역사 밀리언셀러 더욱 자리 문화유산 이자 역사 조선왕조 정리 조선왕조 역사 막 시작 이번 전면 조선왕조 구판 의견 반영 부분 보완 더욱 완성,역사,28.0,"[(28, 0.4865342378616333), (30, 0.22923584282398224), (15, 0.15641525387763977), (12, 0.03316400572657585)]",미국 음악 기념 클래식 올해,"{28: 0.4865342378616333, 30: 0.22923584282398224, 15: 0.15641525387763977, 12: 0.03316400572657585}",https://shopping-phinf.pstatic.net/main_3244460/32444600440.20221019110239.jpg,"18,000원"
69.0,62.0,9788901227580,비커밍 Becoming,미셸 오바마/김명남,웅진지식하우스,세계 언어 동시 예약 오른 올해 화 제작 역대 대통령 부부 자서전 사상 액 판권 예약 세계 화 제작 비 커밍 미국 세계 언어 동시 미국 흑인 퍼스트레이디 미셸 오바마 처음 자서전 그녀 시절 가족 학창 시절 법률 회사 오바마 사랑 결혼 과정 미국 세계 주목 여성 롤모델 거듭 나기 스토리 시카고 변두리 여성 약자 아이콘 미셸 포기 인간 성장 스토리 이자 현실 희망 용기,인문,28.0,"[(28, 0.4009121060371399), (24, 0.2916094958782196), (13, 0.05820077285170555), (29, 0.055118534713983536)]",미국 음악 기념 클래식 올해,"{28: 0.4009121060371399, 24: 0.2916094958782196, 13: 0.05820077285170555, 29: 0.055118534713983536}",https://shopping-phinf.pstatic.net/main_3244584/32445847406.20221230074436.jpg,"19,800원"
45.0,59.3,9788901230658,시작의 기술,개리 비숍/이지연,웅진지식하우스,반복 습관 연습 전문가 이론 처음 시작 야심 도루묵 가슴 정말 방법 새해 매달 다음 주 내일 진짜 결심 제대로 시작 채 후회 간다 시작 기술 개리 비숍 처음 시작 사람 스스로 부정 독백 잠재력 단언 준비 당장 행동 시작 스스로 과정 꼭 진짜 무기 뒤통수 탁 깨달음 설득 소개,자기계발,15.0,"[(15, 0.486776202917099), (23, 0.1787267029285431), (3, 0.13147245347499847), (21, 0.1128670796751976)]",시작 이유 사실 경험 시대,"{15: 0.486776202917099, 23: 0.1787267029285431, 3: 0.13147245347499847, 21: 0.1128670796751976}",https://shopping-phinf.pstatic.net/main_3245593/32455938220.20221019115524.jpg,"14,400원"
47.0,23.1,9788901232232,팥빙수의 전설,이지은,웅진주니어,무더위 즐거움 그림책 팥빙수 전설 듯 여름날 음식 팥빙수 뚱 상상 그림책 산속 할머니 혼자 농사 과일 달달 팥죽 완성 시장 할머니 길 길 갑자기 펑펑 새 호랑이 호랑이 가관 거 할머니 정성 스레 딸기 참외 수박 차례차례 호랑이 콤 딸기 맛 함박 웃음 참외 춤 수박 허겁지겁 호랑이 욕심 끝,유아,20.0,"[(20, 0.4982861578464508), (15, 0.20197224617004395), (22, 0.09494036436080933), (21, 0.0688413605093956)]",아이 그림책 엄마 친구 어린이,"{20: 0.4982861578464508, 15: 0.20197224617004395, 22: 0.09494036436080933, 21: 0.0688413605093956}",https://shopping-phinf.pstatic.net/main_3247309/32473095717.20221019145944.jpg,"11,700원"
27.0,29.0,9788901237336,[예스리커버] 낙엽 스낵,백유연,웅진주니어,낙엽 우수수 가을 가을 꼭 간식,유아,27.0,"[(27, 0.3274316191673279), (15, 0.24217219650745392), (23, 0.04259335622191429), (21, 0.035225335508584976)]",시인 시 드로잉 산문 시집,"{27: 0.3274316191673279, 15: 0.24217219650745392, 23: 0.04259335622191429, 21: 0.035225335508584976}",https://shopping-phinf.pstatic.net/main_3244509/32445098312.20221019124915.jpg,"10,800원"
33.0,23.8,9788901243658,기분이 태도가 되지 않게,박영란/레몬심리,갤리온,회사 인간관계 후회 오해 기분 용법 사무실 분위기 크게 좌우 사람 출근 면서 경고 온몸 직원 슬금슬금 눈치 보고 사람 기분 사무실 탕 냉탕 간다 선 감정 추 스르 기분 남 민폐 사람 마음 걸 밖 감정 도리 프로 다운 모습 일터 감정 기복 그대로 스스로 손해 볼 뿐 회사 뿐 가족 친구 기분 티 사람 질리 후회 기분 기어이 태도 마는 사람,자기계발,3.0,"[(3, 0.3265068233013153), (15, 0.3149953782558441), (21, 0.1262962967157364), (14, 0.10291234403848648)]",마음 심리학 감정 심리 불안,"{3: 0.3265068233013153, 15: 0.3149953782558441, 21: 0.1262962967157364, 14: 0.10291234403848648}",https://shopping-phinf.pstatic.net/main_3244520/32445205657.20221019142347.jpg,"12,600원"
